terminalPublicId,notes,manifold_height_max,isArchived,maxBeamM,description,berthCode,qmaxCapable,berthName,operator,qflexCapable,manifold_height_min,vapourReturnAvailable,typicalLoadingRateNotes,max_cargo_capacity,loadingArmsLngCount,archivedReason,maxLOAM,max_beam,manifoldLimitsNotes,loading_arms,maxArrivalDraftM,berth_number,fenders_type,lastVerifiedDate,archivedAt,max_draft,min_cargo_capacity,productTypeRefIds,max_loa,tenantId,maxCargoCapacityM3,maxArrivalDisplacementT,bollards_capacity,dataSource,publicId,berthType,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"c57b6321-67b0-4cbf-8689-ec457e650162","","","false","","","LNG2","false","Ras Laffan LNG Berth 2","QatarEnergy LNG","true","","","","145000","","","333","","Conventional LNG carrier berth, demo values","","","LNG2","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","333","default-tenant","145000","105000","","Demo seed","e330785c-9185-48c1-8f88-3014a4c041e3","Jetty","Operational","697b417f8ba4f542fb52a1ad","2026-01-29T11:16:15.666000","2026-01-29T11:16:15.666000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"c57b6321-67b0-4cbf-8689-ec457e650162","","","false","","","LNG1","false","Ras Laffan LNG Berth 1","QatarEnergy LNG","true","","","","145000","","","333","","Conventional LNG carrier berth, demo values","","","LNG1","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","333","default-tenant","145000","105000","","Demo seed","b56922f5-7bfd-492d-bec8-477230b30da8","Jetty","Operational","697b417f8ba4f542fb52a1ae","2026-01-29T11:16:15.666000","2026-01-29T11:16:15.666000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"937e8382-8f4d-4772-bf8c-b5be81ae32be","","","false","","","","","","","","","","","","","","","","","","","Berth 1","","","","","","[]","","default-tenant","","","","","7d6da75d-1feb-425a-93a7-8e8e959c7f49","","Active","697b417f8ba4f542fb52a199","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"cd8d1bab-c4b5-4995-8ef6-810429e87617","Two LNG jetties, public sources indicate large LNG carrier capability","","false","","","ALZOUR-J2","","Al-Zour LNG Jetty 2","","","","","","","","","","","","","","Jetty 2","","","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","266000","","","","b2a3c4d5-e6f7-8g9h-0i1j-2k3l4m5n6o7p","","Operational","697b417f8ba4f542fb52a19a","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"cd8d1bab-c4b5-4995-8ef6-810429e87617","Two LNG jetties, public sources indicate large LNG carrier capability","","false","","","ALZOUR-J1","false","Al-Zour LNG Jetty 1","","false","","false","","266000","","","","","","","","Jetty 1","","","","","","[""695d8e3cb5307c17c017c81c"",""695d8e3c534cac534aa6bef9"",""695d8e3da8f9becbd3929fc0""]","","default-tenant","266000","","","","b1a2c3d4-e5f6-7g8h-9i0j-1k2l3m4n5o6p","","Operational","697b417f8ba4f542fb52a19b","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"e8f9a1b2-c3d4-5e6f-7g8h-9i0j1k2l3m4n","Two LNG jetties, public sources indicate large LNG carrier capability","","true","","","ALZOUR-J2","","Al-Zour LNG Jetty 2","","","","","","","","Cascaded from terminal: Created duplicate","","","","","","Jetty 2","","","2026-01-07 11:20:12.217+00","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","266000","","","","b2a3c4d5-e6f7-8g9h-0i1j-2k3l4m5n6o7p","","Inactive","697b417f8ba4f542fb52a19c","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"e8f9a1b2-c3d4-5e6f-7g8h-9i0j1k2l3m4n","Two LNG jetties, public sources indicate large LNG carrier capability","","true","","","ALZOUR-J1","","Al-Zour LNG Jetty 1","","","","","","","","Cascaded from terminal: Created duplicate","","","","","","Jetty 1","","","2026-01-07 11:20:12.217+00","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","266000","","","","b1a2c3d4-e5f6-7g8h-9i0j-1k2l3m4n5o6p","","Inactive","697b417f8ba4f542fb52a19d","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"3dd8adb2-a51f-43ca-a976-f583d7de47b4","Demo seed, berth limits to be verified","","false","","","Sodeshi LNG Berth 1","false","Sodeshi LNG Berth 1","","false","","","","","","","","","","","","Sodeshi LNG Berth 1","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","","","","Demo seed, public sources","41c4d207-f51a-4953-80a5-8f6e5df47eeb","Jetty","Operational","697b417f8ba4f542fb52a19e","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"66a98912-260c-4f2d-aa52-4ecfc77bc88b","Demo seed, berth limits to be verified","","false","","","Kawagoe LNG Berth 1","false","Kawagoe LNG Berth 1","","false","","","","","","","","","","","","Kawagoe LNG Berth 1","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","","","","Demo seed, public sources","f16f96d2-adc8-4eb1-8973-3c5b6c744d46","Jetty","Operational","697b417f8ba4f542fb52a19f","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"120836d2-f407-4d46-b578-a4913b9197bb","Demo seed, berth limits to be verified","","false","","","Chita LNG Berth 1","false","Chita LNG Berth 1","","false","","","","","","","","","","","","Chita LNG Berth 1","","2026-01-06","","","","[""695d8e3cb5307c17c017c81c""]","","default-tenant","","","","Demo seed, public sources","3af7709b-832a-4b7a-b203-eb759ff9dd47","Jetty","Operational","697b417f8ba4f542fb52a1a0","2026-01-29T11:16:15.665000","2026-01-29T11:16:15.665000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
