effectiveTo,notes,zonePublicId,scope,tenantId,countryIso2,effectiveFrom,publicId,id,created_date,updated_date,created_by_id,created_by,is_sample
"","Auto-mapped by code ECA_NSEA. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440001","Coastal","default-tenant","FR","","3e59c3f4-7b38-4f90-ba82-12bb6c3fa78a","697b820cf209f2781d6130e2","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_NSEA. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440001","Coastal","default-tenant","GB","","7a3dfd35-1558-468a-850a-cbac1f8112ab","697b820cf209f2781d6130ee","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_BALTIC. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440002","Coastal","default-tenant","DE","","0790bca8-d36f-4737-bade-bb66c23f5d0e","697b820cf209f2781d6130ea","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_BALTIC. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440002","Coastal","default-tenant","LV","","40a4889b-4558-4974-b86a-abf541c2d2b2","697b820cf209f2781d6130eb","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_NSEA. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440001","Coastal","default-tenant","DE","","b5c7ca8e-f124-4a42-b170-954a95f88a02","697b820cf209f2781d6130ec","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_NSEA. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440001","Coastal","default-tenant","DK","","0a29cbc6-3b8f-420b-bf68-87d63b5adf24","697b820cf209f2781d6130ed","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_NSEA. Resolve zoneId by matching zonePublicId.","7ed0bf89-b53c-49bd-8ff6-dd8b4c00c19c","Coastal","default-tenant","NO","","47fedd77-e43d-4c7c-862d-4e347c515578","697b820cf209f2781d6130e4","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_NSEA. Resolve zoneId by matching zonePublicId.","7ed0bf89-b53c-49bd-8ff6-dd8b4c00c19c","Coastal","default-tenant","DE","","b9d154c2-496f-490a-ae72-8c57f10b1064","697b820cf209f2781d6130e5","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_NSEA. Resolve zoneId by matching zonePublicId.","7ed0bf89-b53c-49bd-8ff6-dd8b4c00c19c","Coastal","default-tenant","BE","","77030934-76df-49bf-973d-8c9a4dc47f81","697b820cf209f2781d6130e6","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","650e8400-e29b-41d4-a716-446655440001","Coastal","default-tenant","NL","","750e8400-e29b-41d4-a716-446655440001","697b820cf209f2781d6130f2","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_NSEA. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440001","Coastal","default-tenant","BE","","a025ac78-db67-4232-8645-6575857b6363","697b820cf209f2781d6130f1","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","650e8400-e29b-41d4-a716-446655440002","Coastal","default-tenant","NO","","750e8400-e29b-41d4-a716-446655440002","697b820cf209f2781d6130f3","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_NSEA. Resolve zoneId by matching zonePublicId.","7ed0bf89-b53c-49bd-8ff6-dd8b4c00c19c","Coastal","default-tenant","NL","","87938ec2-d318-4dbd-affd-12d400322c9f","697b820cf209f2781d6130e7","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_NSEA. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440001","Coastal","default-tenant","NL","","f134bf25-cae8-4616-b29f-a4ae5d72926d","697b820cf209f2781d6130ef","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_NAMERICA. Resolve zoneId by matching zonePublicId.","96c77ca0-2b3e-4520-90f7-ae89c7039ea1","Coastal","default-tenant","US","","d30750c7-261d-4c4a-861a-b96a3696edc0","697b820cf209f2781d6130e8","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_NSEA. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440001","Coastal","default-tenant","NO","","45f5b1e0-3ba7-4544-a82e-c7b76c678150","697b820cf209f2781d6130f0","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_BALTIC. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440002","Coastal","default-tenant","PL","","8bef2a53-f7af-4f7d-a99f-806bcf2b0e33","697b820cf209f2781d6130e1","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_NAMERICA. Resolve zoneId by matching zonePublicId.","cfa34677-e1de-474c-b1dc-0a615b74aaee","Coastal","default-tenant","CA","","83447d4e-d27c-4c7a-9aa7-7510025a01e9","697b820cf209f2781d6130e3","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_BALTIC. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440002","Coastal","default-tenant","SE","","d4101096-6d5f-4b7b-9c36-2eabbfa8cdc1","697b820cf209f2781d6130e9","2026-01-29T15:51:40.650000","2026-01-29T15:51:40.650000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_BALTIC. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440002","Coastal","default-tenant","EE","","889715e6-222c-4faf-96d0-f027279edc27","697b820cf209f2781d6130db","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_NSEA. Resolve zoneId by matching zonePublicId.","7ed0bf89-b53c-49bd-8ff6-dd8b4c00c19c","Coastal","default-tenant","GB","","7b8c5434-8b23-4718-93b3-5a2d61f0bd4a","697b820cf209f2781d6130ce","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_BALTIC. Resolve zoneId by matching zonePublicId.","3d90a14c-f445-4e70-8615-4cc5d78eba83","Coastal","default-tenant","LV","","785eeb08-ed45-424a-88d4-9a5fb5f9268e","697b820cf209f2781d6130d2","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_NSEA. Resolve zoneId by matching zonePublicId.","7ed0bf89-b53c-49bd-8ff6-dd8b4c00c19c","Coastal","default-tenant","FR","","7af83df2-4ba3-4f21-b362-216c4df936c8","697b820cf209f2781d6130d5","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_BALTIC. Resolve zoneId by matching zonePublicId.","3d90a14c-f445-4e70-8615-4cc5d78eba83","Coastal","default-tenant","DK","","f2d32645-cb4e-4662-a0a0-be6efd1bf920","697b820cf209f2781d6130d6","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_BALTIC. Resolve zoneId by matching zonePublicId.","3d90a14c-f445-4e70-8615-4cc5d78eba83","Coastal","default-tenant","DE","","5b72b9fd-7c2e-4247-989c-db059f27158a","697b820cf209f2781d6130d7","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_BALTIC. Resolve zoneId by matching zonePublicId.","3d90a14c-f445-4e70-8615-4cc5d78eba83","Coastal","default-tenant","RU","","b33e9a55-6596-4d08-9e01-10e5f2a5851d","697b820cf209f2781d6130d4","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_NAMERICA. Resolve zoneId by matching zonePublicId.","cfa34677-e1de-474c-b1dc-0a615b74aaee","Coastal","default-tenant","US","","01104063-dfa2-4ba1-9094-f93395f5aa8c","697b820cf209f2781d6130de","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_NAMERICA. Resolve zoneId by matching zonePublicId.","96c77ca0-2b3e-4520-90f7-ae89c7039ea1","Coastal","default-tenant","CA","","595f9173-2817-4b1e-a0f7-a84242536be9","697b820cf209f2781d6130df","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code ECA_BALTIC. Resolve zoneId by matching zonePublicId.","650e8400-e29b-41d4-a716-446655440002","Coastal","default-tenant","FI","","d50eb4f2-3f76-4a18-b2f1-8ef0d2127cf1","697b820cf209f2781d6130e0","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","Auto-mapped by code NECA_BALTIC. Resolve zoneId by matching zonePublicId.","3d90a14c-f445-4e70-8615-4cc5d78eba83","Coastal","default-tenant","SE","","1be12b0d-b22a-4530-9e7c-626ba111f73c","697b820cf209f2781d6130d0","2026-01-29T15:51:40.649000","2026-01-29T15:51:40.649000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
