categoryPublicId,documentValidityType,allowedIssuers,code,searchAliases,notes,validityUnit,appliesTo,isExpiryRequired,description,defaultValidityDuration,isActive,reminderUnit,issuingAuthorityDefault,reminderLeadTime,sortOrder,tenantId,name,publicId,categoryId,id,created_date,updated_date,created_by_id,created_by,is_sample
"","","[]","PI_CERT","[]","","","","false","","","true","","","30","0","default-tenant","P&I Club Entry Certificate / Letter","46dcbda1-f7d9-4191-b417-da5fb26198d5","6960bda8d5443abae509caec","697b59cfb3627833fb7712c0","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","[]","SMC","[]","","","","false","","","true","","","30","0","default-tenant","SMC, Safety Management Certificate","deecaf4a-d3b4-4774-bac2-ea3e20ec2ebb","6960bda7683b9a2c7f853ee7","697b59cfb3627833fb7712c1","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","[]","DOC","[]","","","","false","","","true","","","30","0","default-tenant","DOC, Document of Compliance","74ecc5b0-90bd-4d10-9add-b9d77e6fa431","6960bda7683b9a2c7f853ee7","697b59cfb3627833fb7712c2","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","[]","CLASS_CERT","[]","","","","false","","","true","","","30","0","default-tenant","Class Certificate","b022c1d4-217f-4dea-9a1c-97cd254edb04","6960bda733fa9557339c2fac","697b59cfb3627833fb7712c3","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","TerminalEventDriven","[]","PORTS_CALL","[]","","","Terminal","false","","","true","","Owner or Operator","30","","default-tenant","Last 10 Ports of Call","6f316f59-13e6-49cf-b535-2a6a238b005b","","697b59cfb3627833fb7712c4","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","TerminalEventDriven","[]","CREW_LIST","[]","","","Terminal","false","","","true","","Owner or Operator","30","","default-tenant","Crew List","c3097fab-127f-437a-a387-64ea17ff6de7","","697b59cfb3627833fb7712c5","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","TerminalEventDriven","[]","PRE_ARRIVAL","[""PAF"",""Pre-Arrival""]","","","Terminal","false","","","true","","Owner or Operator","30","","default-tenant","Pre-Arrival Information Form","e77ae16a-d07f-447f-8e03-aab45ee7d452","","697b59cfb3627833fb7712c6","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","PermanentStatic","[]","PILOT_CARD","[""Pilot Card""]","","","Vessel","false","","","true","","Owner or Operator","30","","default-tenant","Pilot Card / Wheelhouse Poster","2bc504de-4de1-498d-a99d-582f043cda58","","697b59cfb3627833fb7712c7","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"12203c23-cdbf-4a02-ae9b-5ef910b9fda2","PermanentStatic","[]","MOORING_PLAN","[""MAP"",""Mooring Plan""]","","","Vessel","false","","","true","","Manufacturer or Shipyard","30","","default-tenant","Mooring Arrangement Plan","dd3af06f-a8cf-4dee-a346-62c9e107291c","6953ccb068d388b26314d762","697b59cfb3627833fb7712c8","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"4b6246ec-fe15-485b-a1fc-f1aa3c89c92a","TerminalEventDriven","[]","ERS_COMPAT","[""ERS"",""Emergency Release System""]","","","Berth","false","","","true","","Terminal","30","","default-tenant","Emergency Release System (ERS) Compatibility Statement","a08fbff5-f80e-4eba-81a1-46a138b358a4","6953ccb0027b38ad0dd7364c","697b59cfb3627833fb7712c9","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"4b6246ec-fe15-485b-a1fc-f1aa3c89c92a","TerminalEventDriven","[]","VR_COMPAT","[""Vapour Return"",""VR""]","","","Berth","false","","","true","","Terminal","30","","default-tenant","Vapour Return Compatibility Statement","fa595224-2274-4946-b755-8a91263add26","6953ccb0027b38ad0dd7364c","697b59cfb3627833fb7712ca","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"02f2402c-6750-433d-a433-ec31fa74d392","PermanentStatic","[]","LNG_MANIFOLD","[""LNG Manifold""]","","","Vessel","false","","","true","","Manufacturer or Shipyard","30","","default-tenant","LNG Manifold Data Sheet","e6aefd82-527a-458b-a2ae-d1cf1d4443e9","6953ccaf344d315e2fa339a8","697b59cfb3627833fb7712cb","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","RenewableCertified","[]","BUNKER_CONV","[]","","Years","Vessel","true","","5","true","","Flag State","30","","default-tenant","Bunker Convention Certificate","d817690e-b5cf-435b-b8b9-666dfde5e154","","697b59cfb3627833fb7712cc","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","VettingTimeSensitive","[]","PI_COE","[""P&I"",""COE""]","","Months","Vessel","true","","12","true","","Owner or Operator","30","","default-tenant","P&I Certificate of Entry","f4ca9f86-5e67-41b8-834b-0b64b8571a7a","","697b59cfb3627833fb7712cd","2026-01-29T12:59:59.124000","2026-01-29T12:59:59.124000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
