code,geoJson,notes,color,fillOpacity,displayOrder,strokeWeight,zoneType,isActive,effectiveTo,authority,tenantId,name,effectiveFrom,publicId,geometryType,status,strokeOpacity,id,created_date,updated_date,created_by_id,created_by,is_sample
"PIRACY_SULU_CELEBES","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{""zoneCode"":""PIRACY_SULU_CELEBES"",""zoneName"":""Sulu-Celebes Seas""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[118,8],[125,10],[127,7],[126,4],[123,1],[119,0],[116,2],[115,5],[118,8]]]}}]}","Sulu-Celebes Seas - High Risk Area for piracy","#FFD93D","0.12","3","1","PIRACY_HRA","true","","IMO","default-tenant","Piracy High Risk Area","","piracy-sulu-celebes-2026","Polygon","Active","0.7","697b786d1fe07ed7824f1d1e","2026-01-29T15:10:37.238000","2026-01-29T15:10:37.238000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"PIRACY_SOUTH_CHINA_SEA","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{""zoneCode"":""PIRACY_SOUTH_CHINA_SEA"",""zoneName"":""South China Sea & Southeast Asia""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[105,23],[120,25],[122,20],[120,10],[115,5],[110,3],[105,5],[100,10],[102,15],[105,23]]]}}]}","South China Sea and nearby Southeast Asian waters - High Risk Area for piracy","#FFD93D","0.12","3","1","PIRACY_HRA","true","","IMO","default-tenant","Piracy High Risk Area","","piracy-south-china-sea-2026","Polygon","Active","0.7","697b786d1fe07ed7824f1d1f","2026-01-29T15:10:37.238000","2026-01-29T15:10:37.238000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"PIRACY_MALACCA_SINGAPORE","{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":{""zoneCode"":""PIRACY_MALACCA_SINGAPORE"",""zoneName"":""Straits of Malacca & Singapore""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[98,6],[100,7],[102,5],[104,3],[105,1.5],[104,0.5],[102,0],[100,0.5],[98,2],[98,6]]]}}]}","Straits of Malacca & Singapore - High Risk Area for piracy","#FFD93D","0.12","3","1","PIRACY_HRA","true","","IMO","default-tenant","Piracy High Risk Area","","piracy-malacca-singapore-2026","Polygon","Active","0.7","697b786d1fe07ed7824f1d20","2026-01-29T15:10:37.238000","2026-01-29T15:10:37.238000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"COMPANY_TRADING_AREA","{""type"":""FeatureCollection"",""name"":""COMPANY_TRADING_AREA"",""features"":[]}","","#A8DADC","0.12","6","1","COMPANY_TRADING_AREA","false","","Company","default-tenant","Company Trading Area","","46c670da-c8d5-4be8-9168-4d0caf07d2ba","MultiPolygon","Active","0.7","697b786d1fe07ed7824f1d21","2026-01-29T15:10:37.238000","2026-01-29T15:10:37.238000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"WAR_RISK","{""type"":""FeatureCollection"",""name"":""WAR_RISK"",""features"":[{""type"":""Feature"",""properties"":{""zoneCode"":""WAR_RISK"",""zoneName"":""Red Sea & Gulf of Aden War Risk""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[32.5,22],[34,23.5],[36,25],[38,27],[40,28.5],[42,28],[44,26.5],[46,24.5],[48,22],[49,19.5],[49.5,17],[49,14.5],[48,12.5],[46,11],[43.5,10.5],[41,11],[39,12],[37.5,13.5],[36,15.5],[35,17.5],[34,19.5],[33,21],[32.5,22]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""WAR_RISK"",""zoneName"":""Persian Gulf War Risk""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[48,24],[50,24.5],[52,25.5],[54,26.5],[56,27.5],[58,27],[59,26],[59.5,24.5],[59,23],[57.5,22],[55.5,21.5],[53,22],[51,22.5],[49,23],[48,24]]]}}]}","","#FA7070","0.12","5","1","WAR_RISK","true","","Other","default-tenant","War Risk Zone","","15c909f8-669c-49e9-8148-faa4c8eaf4e5","MultiPolygon","Active","0.7","697b786d1fe07ed7824f1d22","2026-01-29T15:10:37.238000","2026-01-29T15:10:37.238000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"MARPOL_SPECIAL_AREA","{""type"":""FeatureCollection"",""name"":""MARPOL_SPECIAL_AREA"",""features"":[{""type"":""Feature"",""properties"":{""zoneCode"":""MARPOL_SPECIAL_AREA"",""zoneName"":""Mediterranean Sea""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-5.5,36],[0,37.5],[3,39.5],[8,41.5],[12,42.5],[15,43],[18,42.5],[21,41],[24,40],[27,39.5],[30,40.5],[33,41.5],[36,42],[36.5,40.5],[36,38],[35,36],[34,34.5],[32.5,33.5],[30,32.5],[27,32],[24,32.5],[21,33],[18,33.5],[15,34.5],[12,35.5],[9,36],[6,36],[3,35.5],[0,35.5],[-3,35.5],[-5.5,36]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""MARPOL_SPECIAL_AREA"",""zoneName"":""Baltic Sea""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[10.5,53.5],[14,54],[18,54.5],[22,55.5],[26,59.5],[30,60],[31,65.5],[24,66],[21,65.5],[18,64],[15,62],[12,59],[10,56.5],[9.5,54.5],[10.5,53.5]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""MARPOL_SPECIAL_AREA"",""zoneName"":""Black Sea""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[27.5,41],[28.5,42],[30,43],[32,44],[34,45],[36,45.5],[38,45.5],[40,45],[41.5,44],[41.5,42],[40.5,41],[39,41.5],[37,42],[35,42.5],[33,42.5],[31,42],[29,41.5],[27.5,41]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""MARPOL_SPECIAL_AREA"",""zoneName"":""Red Sea""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[32.5,22],[34,23.5],[35,25],[36,27],[37,28.5],[38,29.5],[39.5,29],[40.5,27.5],[41.5,25.5],[42.5,23.5],[43,21.5],[43.5,19],[43.5,16.5],[43,14.5],[42,13],[40.5,12.5],[38.5,12.5],[36.5,13],[35,14.5],[34,16.5],[33,18.5],[32.5,20],[32.5,22]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""MARPOL_SPECIAL_AREA"",""zoneName"":""Gulfs (Arabian Gulf)""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[48,24],[50,24.5],[52,25.5],[54,26.5],[56,27],[57,26.5],[56.5,25.5],[56,24.5],[55,23.5],[54,23],[52.5,23],[51,23.5],[49.5,23.5],[48.5,23.5],[48,24]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""MARPOL_SPECIAL_AREA"",""zoneName"":""Antarctic""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-180,-60],[180,-60],[180,-90],[-180,-90],[-180,-60]]]}}]}","","#95E1D3","0.12","4","1","MARPOL_SPECIAL_AREA","true","","IMO","default-tenant","MARPOL Special Area","","2b529e79-fbea-474d-9c50-811009783ee2","MultiPolygon","Active","0.7","697b786d1fe07ed7824f1d23","2026-01-29T15:10:37.238000","2026-01-29T15:10:37.238000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"PIRACY_HRA","{""type"":""FeatureCollection"",""name"":""PIRACY_HRA"",""features"":[{""type"":""Feature"",""properties"":{""zoneCode"":""PIRACY_HRA"",""zoneName"":""Gulf of Aden & Somali Coast HRA""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[39,22],[43,22.5],[46,23],[49,23.5],[52,24],[55,24],[58,23.5],[60,22.5],[62,21],[64,19],[66,17],[68,15],[70,13],[72,11],[74,9],[76,7],[78,5],[78,0],[78,-5],[77,-8],[75,-10],[72,-11],[68,-11.5],[64,-11.5],[60,-11],[56,-10],[52,-8.5],[48,-6.5],[45,-4],[43,-1],[42,2],[41.5,5],[41,8],[40.5,11],[40,14],[39.5,17],[39,20],[39,22]]]}}]}","","#FFD93D","0.12","3","1","PIRACY_HRA","true","","IMO","default-tenant","Piracy High Risk Area","","a8000b58-31c5-49dc-accc-5708422662e9","Polygon","Active","0.7","697b786d1fe07ed7824f1d24","2026-01-29T15:10:37.238000","2026-01-29T15:10:37.238000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"ECA_NECA","{""type"":""FeatureCollection"",""name"":""ECA_NECA"",""features"":[{""type"":""Feature"",""properties"":{""zoneCode"":""ECA_NECA"",""zoneName"":""North American NECA""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-81,24],[-80,25.5],[-79.5,27],[-79,29],[-78,33.5],[-76,37],[-74,40.5],[-72,42],[-70,43.5],[-68,45],[-66,46],[-64,47],[-62,48],[-60,49],[-58,49.5],[-56,50],[-52,49.5],[-48,48],[-45,46],[-43,44],[-42,41],[-42.5,38],[-44,35],[-46,32],[-50,28],[-55,25],[-60,23.5],[-65,23],[-70,23],[-75,23.5],[-79,23.5],[-81,24]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""ECA_NECA"",""zoneName"":""US Caribbean NECA""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-67.5,17.5],[-64.5,17.5],[-64.5,19],[-65.5,19.5],[-67,19],[-67.5,18],[-67.5,17.5]]]}}]}","","#4ECDC4","0.12","2","1","ECA_NECA","true","","IMO","default-tenant","ECA NECA","","4d52ce16-429a-42a6-b82b-aa237fb70717","MultiPolygon","Active","0.7","697b786d1fe07ed7824f1d25","2026-01-29T15:10:37.238000","2026-01-29T15:10:37.238000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"ECA_SECA","{""type"":""FeatureCollection"",""name"":""ECA_SECA"",""features"":[{""type"":""Feature"",""properties"":{""zoneCode"":""ECA_SECA"",""zoneName"":""Baltic Sea SECA""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[10.5,53.5],[14,54],[18,54.5],[22,55.5],[26,59.5],[30,60],[31,65.5],[24,66],[21,65.5],[18,64],[15,62],[12,59],[10,56.5],[9.5,54.5],[10.5,53.5]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""ECA_SECA"",""zoneName"":""North Sea SECA""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-4,48.5],[1,49.5],[4,51],[6,53],[8.5,54.5],[9,57],[8,58.5],[5,60],[1,61.5],[-3,60],[-5,58],[-6,56],[-5,53],[-4.5,51],[-4,48.5]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""ECA_SECA"",""zoneName"":""North American ECA""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-81,24],[-80,25.5],[-79.5,27],[-79,29],[-78,33.5],[-76,37],[-74,40.5],[-72,42],[-70,43.5],[-68,45],[-66,46],[-64,47],[-62,48],[-60,49],[-58,49.5],[-56,50],[-52,49.5],[-48,48],[-45,46],[-43,44],[-42,41],[-42.5,38],[-44,35],[-46,32],[-50,28],[-55,25],[-60,23.5],[-65,23],[-70,23],[-75,23.5],[-79,23.5],[-81,24]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""ECA_SECA"",""zoneName"":""US Caribbean SECA""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-67.5,17.5],[-64.5,17.5],[-64.5,19],[-65.5,19.5],[-67,19],[-67.5,18],[-67.5,17.5]]]}},{""type"":""Feature"",""properties"":{""zoneCode"":""ECA_SECA"",""zoneName"":""US Pacific Coast ECA""},""geometry"":{""type"":""Polygon"",""coordinates"":[[[-125,32.5],[-122,32.5],[-119.5,34],[-118.5,36],[-118,38],[-119,40],[-121,42],[-123,44],[-125,46],[-127,48],[-129,49.5],[-132,51],[-134,52.5],[-135.5,54],[-137,56],[-138,58],[-141,59],[-144,59],[-145,57],[-144,55],[-142,53],[-139,51],[-136,49],[-133,47],[-130,45],[-128,43],[-127,40],[-127,37],[-127.5,34.5],[-126.5,33],[-125,32.5]]]}}]}","","#FF6B6B","0.12","1","1","ECA_SECA","true","","IMO","default-tenant","ECA SECA","","354bb101-1cca-437a-9ee7-26d26c54077f","MultiPolygon","Active","0.7","697b786d1fe07ed7824f1d26","2026-01-29T15:10:37.238000","2026-01-29T15:10:37.238000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"COMPANY_TRADING_AREA","{""type"":""FeatureCollection"",""name"":""COMPANY_TRADING_AREA"",""features"":[]}","","#A8DADC","0.12","6","1","COMPANY_TRADING_AREA","false","","Company","default-tenant","Company Trading Area","","5266ffe4-e743-46bc-a2ba-3e1bb4bcc44c","MultiPolygon","Active","0.7","697b786d1fe07ed7824f1d27","2026-01-29T15:10:37.238000","2026-01-29T15:10:37.238000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
