isSystem,code,isLocked,sortOrder,tenantId,name,appliesTo,category,isActive,publicId,id,created_date,updated_date,created_by_id,created_by,is_sample
"true","COMMERCIAL","false","30","default-tenant","Commercial","[""Contact""]","Commercial & Administration","true","00000000-0000-0000-0001-000000000030","6980a6a0d2020a65ef9ef404","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","CLASS_SOCIETY","false","102","default-tenant","Classification Society","[""Company""]","Authority & Compliance","true","00000000-0000-0000-0001-000000000102","6980a6a0d2020a65ef9ef408","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","DECISION_MAKER","false","41","default-tenant","Decision Maker","[""Contact""]","Contact Type / Role","true","00000000-0000-0000-0001-000000000041","6980a6a0d2020a65ef9ef40f","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","TERMINAL_COMPATIBILITY","false","21","default-tenant","Terminal Compatibility","[""Contact""]","Vessel Registration & Compatibility","true","00000000-0000-0000-0001-000000000021","6980a6a0d2020a65ef9ef405","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","CONTRACTS","false","31","default-tenant","Contracts","[""Contact""]","Commercial & Administration","true","00000000-0000-0000-0001-000000000031","6980a6a0d2020a65ef9ef418","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","FLAG_STATE","false","101","default-tenant","Flag State Administration","[""Company""]","Authority & Compliance","true","00000000-0000-0000-0001-000000000101","6980a6a0d2020a65ef9ef419","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","HSSE","false","3","default-tenant","HSSE","[""Contact""]","Safety & Security","true","00000000-0000-0000-0001-000000000003","6980a6a0d2020a65ef9ef412","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","TECHNICAL_FOCAL_POINT","false","42","default-tenant","Technical Focal Point","[""Contact""]","Contact Type / Role","true","00000000-0000-0000-0001-000000000042","6980a6a0d2020a65ef9ef417","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","BILLING","false","32","default-tenant","Billing & Invoicing","[""Contact""]","Commercial & Administration","true","00000000-0000-0000-0001-000000000032","6980a6a0d2020a65ef9ef400","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"true","REGULATORY","false","103","default-tenant","Regulator","[""Company""]","Authority & Compliance","true","00000000-0000-0000-0001-000000000103","6980a6a0d2020a65ef9ef40d","2026-02-02T13:29:04.066000","2026-02-02T13:29:04.066000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
