capabilitiesSections,typicalSizeRange,primaryType,sortOrder,tenantId,subType,definingCharacteristics,isActive,publicId,sizeMetric,id,created_date,updated_date,created_by_id,created_by,is_sample
"","","Gas Carrier","","global","FSRU","","true","550e8400-e29b-41d4-a716-446655440005","","6983767d06cd54c409c0ee48","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","Gas Carrier","","global","Q-Max","","true","550e8400-e29b-41d4-a716-446655440003","","6983767d06cd54c409c0ee49","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","Gas Carrier","","global","LPG Fully Pressurized","","true","550e8400-e29b-41d4-a716-446655440001","","6983767d06cd54c409c0ee4a","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","Gas Carrier","","global","Conventional LNG","","true","550e8400-e29b-41d4-a716-446655440004","","6983767d06cd54c409c0ee4b","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LNG Cargo System Capability, Transfer Modes","Varies","Gas Carrier","51","default-tenant","FSU","Floating storage unit (no regas)","true","8c535923-3609-4f26-9f7c-7524496fbe8b","m3","6983767d06cd54c409c0ee4c","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LNG Cargo System Capability, Transfer Modes","Varies","Gas Carrier","50","default-tenant","FSRU","Floating storage and regasification unit","true","841f5a22-b127-40e5-a690-43a2ffc7131d","m3","6983767d06cd54c409c0ee4d","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Offshore Capability","DP2 typical","Wind Vessel","56","default-tenant","SOV","Wind farm support","true","vt-056","class","6983767d06cd54c409c0ee4e","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability, Ops Limits","5,000–25,000","General Cargo","57","default-tenant","Multipurpose","Breakbulk, flexible","true","vt-057","DWT","6983767d06cd54c409c0ee4f","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability, Ops Limits",">40,000","Heavy Lift","59","default-tenant","Semi-Submersible","Float-on, float-off","true","vt-059","DWT","6983767d06cd54c409c0ee50","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability","Handysize typical","Timber Carrier","62","default-tenant","Log Carrier","Timber fittings","true","vt-062","DWT","6983767d06cd54c409c0ee51","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Offshore Capability","Jack-up","Wind Vessel","55","default-tenant","WTIV","Turbine installation","true","vt-055","class","6983767d06cd54c409c0ee52","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Reefer Capability, Ops Limits","200–600k ft³","Reefer","60","default-tenant","Reefer Ship","Refrigerated cargo","true","vt-060","volume","6983767d06cd54c409c0ee53","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Marine Service Capability","Varies","Dredger","65","default-tenant","Grab Dredger","Grab operations","true","vt-065","class","6983767d06cd54c409c0ee54","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability, Ops Limits","5,000–20,000","Livestock Carrier","61","default-tenant","Cattle, Sheep","Ventilation, welfare systems","true","vt-061","class","6983767d06cd54c409c0ee55","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Marine Service Capability","Varies","Research Vessel","67","default-tenant","Commercial Research","Survey, sensors","true","vt-067","class","6983767d06cd54c409c0ee56","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Marine Service Capability","Varies","Cable Vessel","66","default-tenant","Cable Vessel","Subsea cable works","true","vt-066","class","6983767d06cd54c409c0ee57","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability, Ops Limits","500–10,000","Heavy Lift","58","default-tenant","Crane Vessel","Heavy modules","true","vt-058","tonnes","6983767d06cd54c409c0ee58","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Marine Service Capability","Varies","Dredger","64","default-tenant","Trailing Suction Hopper","Hopper capacity defined","true","vt-064","m3","6983767d06cd54c409c0ee59","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Marine Service Capability","Varies","Dredger","63","default-tenant","Cutter Suction Dredger","Dredging equipment","true","vt-063","class","6983767d06cd54c409c0ee5a","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Ro-Ro Capability, Ops Limits","3,000–8,500","Vehicle Carrier","36","default-tenant","PCTC","Pure car and truck carrier","true","vt-036","CEU","6983767d06cd54c409c0ee5b","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Container Capability, Ops Limits","10,000–14,000","Container Ship","33","default-tenant","New Panamax, Neo-Panamax","New locks constraints","true","vt-033","TEU","6983767d06cd54c409c0ee5c","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Ro-Ro Capability, Ops Limits","Varies","Ro-Ro","35","default-tenant","Pure Ro-Ro","Rolling cargo, ramps","true","vt-035","lane_meters","6983767d06cd54c409c0ee5d","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Capability, Tanker Systems","5,000–20,000","Product Tanker","7","default-tenant","Small, Coastal","Refined products, short sea, higher segregation","true","vt-007","DWT","6983767d06cd54c409c0ee5e","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LNG Cargo System Capability, Transfer Modes","5,000–20,000","Gas Carrier","18","default-tenant","LNG Bunker Vessel","STS bunkering focused","true","vt-018","m3","6983767d06cd54c409c0ee5f","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LNG Cargo System Capability","125,000–180,000","Gas Carrier","15","default-tenant","Conventional LNG","Membrane or Moss, BOG handling","true","vt-015","m3","6983767d06cd54c409c0ee60","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability","65,000–85,000","Bulk Carrier","25","default-tenant","Panamax","Panama constraints, grain, coal","true","vt-025","DWT","6983767d06cd54c409c0ee61","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Ro-Ro Capability, Ops Limits","8,500+","Vehicle Carrier","37","default-tenant","Large PCTC","Very large car carrier","true","vt-037","CEU","6983767d06cd54c409c0ee62","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Yacht Capability, Ops Limits","24–60","Yacht","41","default-tenant","Motor Yacht","Private or charter","true","vt-041","LOA_m","6983767d06cd54c409c0ee63","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Tanker Systems, Ops Limits","80,000–120,000","Oil Tanker (Crude)","3","default-tenant","Aframax","Common crude class globally","true","vt-003","DWT","6983767d06cd54c409c0ee64","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Container Capability, Ops Limits","3,000–5,000","Container Ship","31","default-tenant","Panamax","Old Panama constraints","true","vt-031","TEU","6983767d06cd54c409c0ee65","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Gas Cargo System Capability","5,000–30,000","Gas Carrier","20","default-tenant","LPG Semi-Refrigerated","Pressure plus refrigeration","true","vt-020","m3","6983767d06cd54c409c0ee66","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Passenger Capability, Ops Limits","1,000–6,000+","Passenger Vessel","39","default-tenant","Cruise Ship","Large hotel services, port constraints","true","vt-039","pax","6983767d06cd54c409c0ee67","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Offshore Capability, Tanker Systems","80,000–150,000","Specialized Tanker","11","default-tenant","Shuttle Tanker","Offshore loading, DP common","true","vt-011","DWT","6983767d06cd54c409c0ee68","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Yacht Capability, Ops Limits","30–100","Yacht","44","default-tenant","Sailing Yacht","Sailing rigs, mast, air draft","true","vt-044","LOA_m","6983767d06cd54c409c0ee69","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Offshore Capability","Medium, Large","Offshore Support Vessel","51","default-tenant","MPSV","Multi-role offshore support","true","vt-051","class","6983767d06cd54c409c0ee6a","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability, Ops Limits","150,000–220,000","Bulk Carrier","27","default-tenant","Capesize","Ore, coal only, deep draft","true","vt-027","DWT","6983767d06cd54c409c0ee6b","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Container Capability, Ops Limits","14,000–24,000+","Container Ship","34","default-tenant","ULCV","Ultra large, limited terminals","true","vt-034","TEU","6983767d06cd54c409c0ee6c","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Tanker Systems, Ops Limits","60,000–80,000","Oil Tanker (Crude)","2","default-tenant","Panamax","Panamax geometry, crude trades","true","vt-002","DWT","6983767d06cd54c409c0ee6d","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Capability, Tanker Systems","80,000–120,000","Product Tanker","10","default-tenant","LR2","Large refined products","true","vt-010","DWT","6983767d06cd54c409c0ee6e","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Offshore Capability, Passenger Capability","100–400","Accommodation Vessel","48","default-tenant","Construction Support","Work support, sometimes crane","true","vt-048","pax","6983767d06cd54c409c0ee6f","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability","85,000–100,000","Bulk Carrier","26","default-tenant","Post-Panamax, Kamsarmax","Larger bulks, port constraints","true","vt-026","DWT","6983767d06cd54c409c0ee70","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LNG Cargo System Capability","~210,000","Gas Carrier","16","default-tenant","Q-Flex","Qatar class LNG design","true","vt-016","m3","6983767d06cd54c409c0ee71","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Capability, Tanker Systems","25,000–55,000","Product Tanker","8","default-tenant","MR","Multi-grade clean products typical","true","vt-008","DWT","6983767d06cd54c409c0ee72","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Offshore Capability","S-Lay, J-Lay","Offshore Construction Vessel","53","default-tenant","Pipe Layer","Pipeline install","true","vt-053","class","6983767d06cd54c409c0ee73","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Yacht Capability, Ops Limits","40–90","Yacht","45","default-tenant","Expedition Yacht","Often ice class, long range","true","vt-045","LOA_m","6983767d06cd54c409c0ee74","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability","10,000–40,000","Bulk Carrier","23","default-tenant","Handysize","Dry bulk, often geared","true","vt-023","DWT","6983767d06cd54c409c0ee75","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Container Capability, Ops Limits","<1,000","Container Ship","29","default-tenant","Feeder","Regional networks","true","vt-029","TEU","6983767d06cd54c409c0ee76","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Container Capability, Ops Limits","1,000–3,000","Container Ship","30","default-tenant","Feedermax","Hub and spoke feedering","true","vt-030","TEU","6983767d06cd54c409c0ee77","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LNG Cargo System Capability","~266,000","Gas Carrier","17","default-tenant","Q-Max","Very large LNG, terminal constraints","true","vt-017","m3","6983767d06cd54c409c0ee78","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Gas Cargo System Capability","<10,000","Gas Carrier","19","default-tenant","LPG Fully Pressurized","Type C pressure tanks","true","vt-019","m3","6983767d06cd54c409c0ee79","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability, Ops Limits","220,000+","Bulk Carrier","28","default-tenant","VLOC","Very large ore trades","true","vt-028","DWT","6983767d06cd54c409c0ee7a","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Offshore Capability, Passenger Capability","200–800","Accommodation Vessel","46","default-tenant","Flotel","DP common, offshore hotel","true","vt-046","pax","6983767d06cd54c409c0ee7b","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Offshore Capability","1,000–5,000","Offshore Construction Vessel","52","default-tenant","Heavy Lift","Crane, modules","true","vt-052","tonnes","6983767d06cd54c409c0ee7c","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Container Capability, Ops Limits","5,000–10,000","Container Ship","32","default-tenant","Post-Panamax","Wider beam, major routes","true","vt-032","TEU","6983767d06cd54c409c0ee7d","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Capability, Tanker Systems","55,000–80,000","Product Tanker","9","default-tenant","LR1","Long range refined products","true","vt-009","DWT","6983767d06cd54c409c0ee7e","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Passenger Capability, Ops Limits","<2,000","Passenger Vessel","38","default-tenant","Ferry","Short routes, mixed vehicles often","true","vt-038","pax","6983767d06cd54c409c0ee7f","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Passenger Capability","Varies","Accommodation Vessel","47","default-tenant","Accommodation Barge","Non-propelled, moored","true","vt-047","pax","6983767d06cd54c409c0ee80","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Offshore Capability","3,000–6,000 DWT","Offshore Support Vessel","49","default-tenant","PSV","Deck cargo, liquid tanks","true","vt-049","class","6983767d06cd54c409c0ee81","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Suitability","40,000–65,000","Bulk Carrier","24","default-tenant","Handymax, Supramax","Often geared, flexible trades","true","vt-024","DWT","6983767d06cd54c409c0ee82","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Offshore Capability","5,000–20,000","Offshore Support Vessel","50","default-tenant","AHTS","Towing, anchor handling","true","vt-050","BHP","6983767d06cd54c409c0ee83","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Tanker Systems, Ops Limits","120,000–200,000","Oil Tanker (Crude)","4","default-tenant","Suezmax","Suez constraints, deep draft","true","vt-004","DWT","6983767d06cd54c409c0ee84","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Gas Cargo System Capability","80,000+","Gas Carrier","22","default-tenant","Ethane Carrier, VLEC","Ethane capable, specialized containment","true","vt-022","m3","6983767d06cd54c409c0ee85","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"LNG Cargo System Capability","<40,000","Gas Carrier","14","default-tenant","Small-Scale LNG","LNG containment, regional distribution","true","vt-014","m3","6983767d06cd54c409c0ee86","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Cargo Capability, Tanker Systems","5,000–30,000","Specialized Tanker","12","default-tenant","Bitumen Tanker","Heated cargo tanks","true","vt-012","DWT","6983767d06cd54c409c0ee87","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Yacht Capability, Ops Limits","100+","Yacht","43","default-tenant","Megayacht","Extreme port, marina constraints","true","vt-043","LOA_m","6983767d06cd54c409c0ee88","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"Passenger Capability, Ops Limits","<500","Passenger Vessel","40","default-tenant","Expedition Cruise","Remote, polar, smaller footprint","true","vt-040","pax","6983767d06cd54c409c0ee89","2026-02-04T16:40:29.020000","2026-02-04T16:40:29.020000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
