side,code,deck,zoneType,description,vesselId,tenantId,parentZonePublicId,name,vesselPublicId,parentZoneId,publicId,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"NA","ER001","","AREA","","694cf5602428fe3c1b13d614","default-tenant","44b8160d-f891-4eb4-8861-d2ec04790591","Storage 01","2a3fa866-fd88-47e2-b4a4-71896c90faa3","695c9bd7eeda91d0b203ec8f","4e8cb2db-7cb4-42af-b152-15466df81be8","ACTIVE","698235d78f9218da898345ac","2026-02-03T17:52:23.736000","2026-02-03T17:52:23.736000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"NA","DECK-08","Deck 08","DECK","","694cf5602428fe3c1b13d614","default-tenant","050ee604-7601-47c8-88d3-7a83a4650fe6","Deck 08","2a3fa866-fd88-47e2-b4a4-71896c90faa3","695c9bd518dcd84a50d8f085","63a9af78-0a69-4c7e-83cc-42ea69329dc5","ACTIVE","698235d78f9218da898345ad","2026-02-03T17:52:23.736000","2026-02-03T17:52:23.736000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"NA","DECK-06","Deck 06","DECK","","694cf5602428fe3c1b13d614","default-tenant","b60477ab-469d-42ea-af44-0b808f274f64","Deck 06","2a3fa866-fd88-47e2-b4a4-71896c90faa3","695c9bd5b909866784c12446","85bb0150-5c84-47e5-882a-d0659388bc3b","ACTIVE","698235d78f9218da898345ae","2026-02-03T17:52:23.736000","2026-02-03T17:52:23.736000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"CENTER","MANIFOLD-AREA","","SECTION","","694cf5602428fe3c1b13d614","default-tenant","b573d8cf-0320-4c8a-a081-88e1643b26a0","Manifold Area","2a3fa866-fd88-47e2-b4a4-71896c90faa3","695c9bd3daf5eca1333b3bb1","ac7b92a6-77ff-449d-af5f-b07965a9f304","ACTIVE","698235d78f9218da898345af","2026-02-03T17:52:23.736000","2026-02-03T17:52:23.736000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"CENTER","ENGINE-ROOM","","SECTION","","694cf5602428fe3c1b13d614","default-tenant","333524a7-7e13-4117-b929-46b54be0be66","Engine Room","2a3fa866-fd88-47e2-b4a4-71896c90faa3","695c9bd0f6de71552a2447ff","44b8160d-f891-4eb4-8861-d2ec04790591","ACTIVE","698235d78f9218da898345b0","2026-02-03T17:52:23.736000","2026-02-03T17:52:23.736000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"NA","CARGO-FWD","","SECTION","","694cf5602428fe3c1b13d614","default-tenant","2ed42852-e633-42ff-9a86-5f449de7a400","Cargo Area Forward","2a3fa866-fd88-47e2-b4a4-71896c90faa3","695c9bcfbc4159c3b854b497","71dc88b4-2600-446e-ba3b-c27fc0e631f9","ACTIVE","698235d78f9218da898345b1","2026-02-03T17:52:23.736000","2026-02-03T17:52:23.736000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"NA","ACCOM-AFT","","AREA","","694cf5602428fe3c1b13d614","default-tenant","74b5d1e0-4216-4436-b385-0eaa8050c782","Accommodation Aft","2a3fa866-fd88-47e2-b4a4-71896c90faa3","695c9bceac02382a57e7e230","050ee604-7601-47c8-88d3-7a83a4650fe6","ACTIVE","698235d78f9218da898345b2","2026-02-03T17:52:23.736000","2026-02-03T17:52:23.736000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"NA","ACCOM-FWD","","AREA","","694cf5602428fe3c1b13d614","default-tenant","74b5d1e0-4216-4436-b385-0eaa8050c782","Accommodation Forward","2a3fa866-fd88-47e2-b4a4-71896c90faa3","695c9bceac02382a57e7e230","b60477ab-469d-42ea-af44-0b808f274f64","ACTIVE","698235d78f9218da898345b3","2026-02-03T17:52:23.736000","2026-02-03T17:52:23.736000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"NA","OPEN-DECK","","AREA","","694cf5602428fe3c1b13d614","default-tenant","8d44f90e-e902-47f0-813d-cf5e6af183a7","Open Deck","2a3fa866-fd88-47e2-b4a4-71896c90faa3","695c9bce5ab051fe8f8937a0","b573d8cf-0320-4c8a-a081-88e1643b26a0","ACTIVE","698235d78f9218da898345b4","2026-02-03T17:52:23.736000","2026-02-03T17:52:23.736000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"NA","MACHINERY","","AREA","","694cf5602428fe3c1b13d614","default-tenant","8d44f90e-e902-47f0-813d-cf5e6af183a7","Machinery Spaces","2a3fa866-fd88-47e2-b4a4-71896c90faa3","695c9bce5ab051fe8f8937a0","333524a7-7e13-4117-b929-46b54be0be66","ACTIVE","698235d78f9218da898345b5","2026-02-03T17:52:23.736000","2026-02-03T17:52:23.736000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
