esdErcType,manifoldLngCount,manifoldSpacingPitch_mm,maxWaveHeight_m,loa_m,cargoContainmentType,fairleadChockPositionsNotes,vapourManifoldHeightMax_m,isActive,yearBuilt,sternLines,callSign,designDraft_m,mouldedDepthM,preferredFenderType,ownerCompanyId,lineType,tugRequirementsNotes,headLines,fenderPointLoadLimit_kN,tideRangeMax_m,manifoldVapourCount,vapourManifoldHeightMin_m,ercManufacturerModel,lngManifoldHeightMax_m,tideRangeMin_m,fenderContactZone,maxLoadingRate_m3ph,classSocietyCompanyId,image_url,springsForward,flagCountryId,beam_m,chockType,ntItc69,springsAft,mooringLinesTotal,name,manifoldToBow_m,maxDraft_m,berthingSideSupported,lngManifoldHeightMin_m,operatorCompanyId,status,dwt,mmsi,airDraft_m,shipyard,vesselTypeRefPublicId,shellPlatingRestrictions,summerDraftM,maxWindAlongside_kn,maxWindBerthing_kn,lineMBL_kN,manifoldToStern_m,mooringWinches,depth_m,vesselInternalId,classSocietyCompanyPublicId,width_m,lbpM,flagCountryPublicId,breastLinesAft,udf02,udf01,flangeRating,ownerCompanyPublicId,displacementSummer_t,breadthMouldedM,operatorCompanyPublicId,gt,vapourReturnSupported,maxDischargeRate_m3ph,vesselTypeRefId,classNotation,maxCurrentAlongside_kn,imoNumber,tenantId,breastLinesForward,brakeHoldingCapacity_kN,publicId,cargoCapacity_m3,flangeSizeLng_in,id,created_date,updated_date,created_by_id,created_by,is_sample
"","","","","225","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550001","36.63","","","","","Sahyadri","","","","","","Active","54526","","","Hyundai Heavy Industries","550e8400-e29b-41d4-a716-446655440001","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550001","","","HHI VLGC","","","","","","47058","","","550e8400-e29b-41d4-a716-446655440001","","","9359478","global","","","550e8400-e29b-41d4-a716-446655770004","82452","","697b569b2a72857c481dc4ec","2026-01-29T12:46:19.919000","2026-03-12T17:24:01.472000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","345.33","","","","true","2008","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550001","53.83","","","","","Mozah","","","","","","Active","130102","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440003","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550001","","","SHI Q-Max","","","","","","163922","","","550e8400-e29b-41d4-a716-446655440003","","","9337755","global","","","550e8400-e29b-41d4-a716-446655770009","266253","","697b569b2a72857c481dc4ed","2026-01-29T12:46:19.919000","2026-03-12T17:24:02.102000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550001","50.03","","","","","Onaiza","","","","","","Active","121939","","","Daewoo Shipbuilding & Marine Engineering","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550001","","","DSME Q-Flex","","","","","","136980","","","550e8400-e29b-41d4-a716-446655440002","","","9397353","global","","","550e8400-e29b-41d4-a716-446655770016","210150","","697b569b2a72857c481dc4ee","2026-01-29T12:46:19.919000","2026-03-12T17:24:02.782000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315.16","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550001","50","","","","","Mesaimeer","","","","","","Active","107160","","","Hyundai Heavy Industries","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550001","","","HHI Q-Flex","","","","","","136168","","","550e8400-e29b-41d4-a716-446655440002","","","9337729","global","","","550e8400-e29b-41d4-a716-446655770018","216312","","697b569b2a72857c481dc4ef","2026-01-29T12:46:19.919000","2026-03-12T17:24:03.515000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","345.28","","","","true","2008","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550001","53.83","","","","","Umm Slal","","","","","","Active","130059","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440003","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550001","","","SHI Q-Max","","","","","","163922","","","550e8400-e29b-41d4-a716-446655440003","","","9372731","global","","","550e8400-e29b-41d4-a716-446655770010","265978","","697b569b2a72857c481dc4f0","2026-01-29T12:46:19.919000","2026-03-12T17:24:04.622000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315","","","","true","2007","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550001","50.04","","","","","Tembek","","","","","","Active","107514","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550001","","","SHI Q-Flex","","","","","","136410","","","550e8400-e29b-41d4-a716-446655440002","","","9337731","global","","","550e8400-e29b-41d4-a716-446655770007","216200","","697b569b2a72857c481dc4f1","2026-01-29T12:46:19.919000","2026-03-12T17:24:05.336000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","345","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb2","","","550e8400-e29b-41d4-a716-446655550001","53.83","","","","","Al Dafna","","","","","","Active","130157","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440003","","","","","","","","","","1f1a34a3-753d-49ee-80df-e24af761c0b6","","","550e8400-e29b-41d4-a716-446655550001","","","SHI Q-Max","","","","","","163922","","","550e8400-e29b-41d4-a716-446655440003","","","9443683","global","","","550e8400-e29b-41d4-a716-446655770012","266366","","697b569b2a72857c481dc4f2","2026-01-29T12:46:19.919000","2026-03-12T17:24:06.019000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","345.28","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb1","","","550e8400-e29b-41d4-a716-446655550001","53.83","","","","","Al Mafyar","","","","","","Active","130441","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440003","","","","","","","","","","d34909a1-1516-498c-9da8-3032bb70bcec","","","550e8400-e29b-41d4-a716-446655550001","","","SHI Q-Max","","","","","","163922","","","550e8400-e29b-41d4-a716-446655440003","","","9397315","global","","","550e8400-e29b-41d4-a716-446655770013","266370","","697b569b2a72857c481dc4f3","2026-01-29T12:46:19.919000","2026-03-12T17:24:06.647000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315.16","","","","true","2009","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550001","50","","","","","Al Kharaitiyat","","","","","","Active","107153","","","Hyundai Heavy Industries","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550001","","","HHI Q-Flex","","","","","","136168","","","550e8400-e29b-41d4-a716-446655440002","","","9397327","global","","","550e8400-e29b-41d4-a716-446655770019","216300","","697b569b2a72857c481dc4f4","2026-01-29T12:46:19.919000","2026-03-12T17:24:07.483000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
"","","","","315","","","","true","2008","","","","","","","","","","","","","","","","","","","697c5ff1b40996a288059cb3","","","550e8400-e29b-41d4-a716-446655550001","50.04","","","","","Al Gharrafa","","","","","","Active","106898","","","Samsung Heavy Industries","550e8400-e29b-41d4-a716-446655440002","","","","","","","","","","ce92a908-5bbc-4d0e-ac01-11ae979663a5","","","550e8400-e29b-41d4-a716-446655550001","","","HHI Q-Flex","","","","","","136410","","","550e8400-e29b-41d4-a716-446655440002","","","9337717","global","","","550e8400-e29b-41d4-a716-446655770006","216200","","697b569b2a72857c481dc4f5","2026-01-29T12:46:19.919000","2026-03-12T17:24:08.287000","697b18d70b1739675ee7f599","veselin@tidisolutions.rs","false"
